Hour,Wind Speed
11,2.7967817783355717
12,3.3166348934173584
13,3.5369722843170166
14,3.575352430343628
15,3.4475276470184326
16,3.4042978286743164
17,3.3332252502441406
18,3.220304012298584
19,3.0412352085113525
20,2.890781879425049
21,2.664626121520996
22,2.4932124614715576
23,2.581801176071167
0,2.7788677215576167
1,2.8287668228149414
2,2.802670955657959
3,2.678415298461914
4,2.4803757667541504
5,2.250662326812744
6,1.978549599647522
7,1.63654363155365
8,1.3912228345870972
9,1.1413002014160156
10,0.2818453907966614
11,0.5650387406349182
12,1.053523063659668
13,1.2303168773651123
14,1.483257293701172
15,1.777199625968933
16,2.0176782608032227
17,2.1907634735107417
18,2.3898298740386963
19,2.690990686416626
20,2.8780109882354736
21,2.9205713272094727
22,2.910250425338745
23,2.859363079071045
0,2.776956796646118
1,2.6520464420318604
2,2.4167673587799072
3,2.095175743103028
4,1.680431604385376
5,1.2701059579849243
6,0.969569206237793
7,0.9491475820541382
8,0.920581877231598
9,1.7815579175949097
10,3.3655931949615483
11,4.3158512115478525
12,4.949117183685303
13,5.3131256103515625
14,5.478696823120117
15,5.539660930633545
16,5.422618865966797
17,4.793086528778076
18,4.213983058929443
19,3.7144615650177
20,3.04931116104126
21,2.475958108901977
22,2.1846508979797363
23,2.0867693424224854
0,2.1151318550109863
1,2.2257215976715092
2,2.123443603515625
3,1.900585055351257
4,1.7623331546783447
5,1.8842755556106567
6,2.4114704132080083
7,2.9792401790618896
8,2.845632076263428
9,3.5795042514801025
10,4.6210975646972665
11,5.439969062805176
12,6.0377540588378915
13,6.356740474700928
14,6.323899745941162
15,6.1594600677490225
16,6.008838653564452
17,5.547770023345947
18,4.987653732299805
19,4.725107192993164
20,4.550600051879883
21,4.111532211303712
22,3.761783599853516
23,3.9386200904846187
0,4.116978168487549
1,4.1336116790771475
2,3.865576267242432
3,3.5822844505310063
4,3.400096893310547
5,3.322194099426269
6,3.255927324295044
7,2.9888689517974854
8,2.367738962173462
9,1.4932414293289185
10,0.6762536764144897
11,1.369214415550232
12,2.1207842826843257
13,2.5759220123291016
14,2.642780303955078
15,2.599040508270264
16,2.6559255123138428
17,2.9275918006896973
18,3.473766803741455
19,3.874357700347901
20,4.0359411239624015
21,4.072080135345459
22,4.077380180358887
23,4.010313987731934
0,3.876786708831787
1,3.741959571838379
2,3.6150424480438232
3,3.5410048961639404
4,3.50454044342041
5,3.444810390472412
6,3.3642303943634038
7,3.1903226375579834
8,2.63509202003479
9,2.4361214637756348
10,1.859689235687256
11,1.186166763305664
12,1.0502740144729614
13,1.3744523525238037
14,1.8172250986099243
15,2.199167490005493
16,2.567211866378784
17,3.066315174102783
18,3.709554433822632
19,4.175069808959962
20,4.335939407348634
21,4.362761974334717
22,4.286009788513184
23,4.168201446533203
0,4.098653793334962
1,4.065353870391847
2,3.912519931793213
3,3.6450464725494394
4,3.3354060649871826
5,2.8890841007232666
6,2.3640899658203125
7,1.8537659645080569
8,1.2990024089813232
9,1.1357812881469729
10,1.8602710962295528
11,2.1605479717254643
12,2.3186960220336914
13,2.3266360759735107
14,2.3021159172058105
15,2.2439370155334477
16,2.1605610847473145
17,2.271178960800171
18,2.5404813289642334
19,2.7764105796813965
20,2.814966917037964
21,2.651106595993042
22,2.3568363189697266
23,1.9676274061203003
0,1.5637617111206057
1,1.1801708936691284
2,1.1836296319961548
3,1.361987829208374
4,1.5594786405563354
5,1.7444560527801514
6,1.8416547775268557
7,1.8188234567642207
8,1.7220304012298584
9,1.5422041416168213
10,1.5824799537658691
11,1.6492397785186768
12,1.7082432508468628
13,1.6795735359191897
14,1.6671733856201172
15,1.686131715774536
16,1.788449764251709
17,2.1238970756530757
18,2.7629718780517583
19,3.252205610275269
20,3.595209836959839
21,3.776193857192993
22,3.820303201675415
23,3.759588479995728
0,3.6083946228027344
1,3.4329309463500977
2,3.0997884273529053
3,2.7454237937927246
4,2.430205583572388
5,2.0660877227783203
6,1.6752088069915771
